0 0 0 0
6 9 20 49
11 19 41 106
16 29 46 131
21 39 83 220
26 49 88 245
31 59 93 270
36 69 162 423
41 79 167 448
46 89 172 473
51 99 177 498
56 109 182 523
61 119 187 548
66 129 320 829
71 139 325 854
76 149 330 879
81 159 335 904
86 169 340 929
91 179 345 954
96 189 350 979
101 199 355 1004
106 209 360 1029
111 219 365 1054
116 229 370 1079
121 239 375 1104
126 249 380 1129
131 259 641 1666
136 269 646 1691
141 279 651 1716
146 289 656 1741
151 299 661 1766
156 309 666 1791
161 319 671 1816
166 329 676 1841
171 339 681 1866
176 349 686 1891
181 359 691 1916
186 369 696 1941
191 379 701 1966
196 389 706 1991
201 399 711 2016
206 409 716 2041
211 419 721 2066
216 429 726 2091
221 439 731 2116
226 449 736 2141
231 459 741 2166
236 469 746 2191
241 479 751 2216
246 489 756 2241
251 499 761 2266
256 509 766 2291
261 519 1283 3340
266 529 1288 3365
271 539 1293 3390
276 549 1298 3415
281 559 1303 3440
286 569 1308 3465
291 579 1313 3490
296 589 1318 3515
301 599 1323 3540
306 609 1328 3565
311 619 1333 3590
316 629 1338 3615
321 639 1343 3640
326 649 1348 3665
331 659 1353 3690
336 669 1358 3715
341 679 1363 3740
346 689 1368 3765
351 699 1373 3790
356 709 1378 3815
361 719 1383 3840
366 729 1388 3865
371 739 1393 3890
376 749 1398 3915
381 759 1403 3940
386 769 1408 3965
391 779 1413 3990
396 789 1418 4015
401 799 1423 4040
406 809 1428 4065
411 819 1433 4090
416 829 1438 4115
421 839 1443 4140
426 849 1448 4165
431 859 1453 4190
436 869 1458 4215
441 879 1463 4240
446 889 1468 4265
451 899 1473 4290
456 909 1478 4315
461 919 1483 4340
466 929 1488 4365
471 939 1493 4390
476 949 1498 4415
481 959 1503 4440
486 969 1508 4465
491 979 1513 4490
496 989 1518 4515
501 999 1523 4540
506 1009 1528 4565
511 1019 1533 4590
516 1029 2562 6663
521 1039 2567 6688
526 1049 2572 6713
531 1059 2577 6738
536 1069 2582 6763
541 1079 2587 6788
546 1089 2592 6813
551 1099 2597 6838
556 1109 2602 6863
561 1119 2607 6888
566 1129 2612 6913
571 1139 2617 6938
576 1149 2622 6963
581 1159 2627 6988
586 1169 2632 7013
591 1179 2637 7038
596 1189 2642 7063
601 1199 2647 7088
606 1209 2652 7113
611 1219 2657 7138
616 1229 2662 7163
621 1239 2667 7188
626 1249 2672 7213
631 1259 2677 7238
636 1269 2682 7263
641 1279 2687 7288
646 1289 2692 7313
651 1299 2697 7338
656 1309 2702 7363
661 1319 2707 7388
666 1329 2712 7413
671 1339 2717 7438
676 1349 2722 7463
681 1359 2727 7488
686 1369 2732 7513
691 1379 2737 7538
696 1389 2742 7563
701 1399 2747 7588
706 1409 2752 7613
711 1419 2757 7638
716 1429 2762 7663
721 1439 2767 7688
726 1449 2772 7713
731 1459 2777 7738
736 1469 2782 7763
741 1479 2787 7788
746 1489 2792 7813
751 1499 2797 7838
756 1509 2802 7863
761 1519 2807 7888
766 1529 2812 7913
771 1539 2817 7938
776 1549 2822 7963
781 1559 2827 7988
786 1569 2832 8013
791 1579 2837 8038
796 1589 2842 8063
801 1599 2847 8088
806 1609 2852 8113
811 1619 2857 8138
816 1629 2862 8163
821 1639 2867 8188
826 1649 2872 8213
831 1659 2877 8238
836 1669 2882 8263
841 1679 2887 8288
846 1689 2892 8313
851 1699 2897 8338
856 1709 2902 8363
861 1719 2907 8388
866 1729 2912 8413
871 1739 2917 8438
876 1749 2922 8463
881 1759 2927 8488
886 1769 2932 8513
891 1779 2937 8538
896 1789 2942 8563
901 1799 2947 8588
906 1809 2952 8613
911 1819 2957 8638
916 1829 2962 8663
921 1839 2967 8688
926 1849 2972 8713
931 1859 2977 8738
936 1869 2982 8763
941 1879 2987 8788
946 1889 2992 8813
951 1899 2997 8838
956 1909 3002 8863
961 1919 3007 8888
966 1929 3012 8913
971 1939 3017 8938
976 1949 3022 8963
981 1959 3027 8988
986 1969 3032 9013
991 1979 3037 9038
996 1989 3042 9063
1001 1999 3047 9088
